Image,Name,Description
https://stardewvalleywiki.com/mediawiki/images/9/9f/Lobster.png,Lobster,A large ocean-dwelling crustacean with a strong tail.
https://stardewvalleywiki.com/mediawiki/images/e/ed/Clam.png,Clam,There's a chewy little guy in there...
https://stardewvalleywiki.com/mediawiki/images/5/53/Crayfish.png,Crayfish,A small freshwater relative of the lobster.
https://stardewvalleywiki.com/mediawiki/images/6/63/Crab.png,Crab,A marine crustacean with two powerful pincers.
https://stardewvalleywiki.com/mediawiki/images/a/ad/Cockle.png,Cockle,A common saltwater clam.
https://stardewvalleywiki.com/mediawiki/images/a/aa/Mussel.png,Mussel,A common bivalve that often lives in clusters.
https://stardewvalleywiki.com/mediawiki/images/9/91/Shrimp.png,Shrimp,A scavenger that feeds off the ocean floor. Widely prized for its meat.
https://stardewvalleywiki.com/mediawiki/images/d/d2/Snail.png,Snail,A wide-ranging mollusc that lives in a spiral shell.
https://stardewvalleywiki.com/mediawiki/images/1/1d/Periwinkle.png,Periwinkle,A tiny freshwater snail that lives in a blue shell.
https://stardewvalleywiki.com/mediawiki/images/5/54/Oyster.png,Oyster,"Constantly filters water to find food. In the process, it removes dangerous toxins from the environment."
https://stardewvalleywiki.com/mediawiki/images/b/ba/Pufferfish.png,Pufferfish,Inflates when threatened.
https://stardewvalleywiki.com/mediawiki/images/7/79/Anchovy.png,Anchovy,A small silver fish found in the ocean.
https://stardewvalleywiki.com/mediawiki/images/c/c5/Tuna.png,Tuna,A large fish that lives in the ocean.
https://stardewvalleywiki.com/mediawiki/images/0/04/Sardine.png,Sardine,A common ocean fish.
https://stardewvalleywiki.com/mediawiki/images/8/82/Bream.png,Bream,A fairly common river fish that becomes active at night.
https://stardewvalleywiki.com/mediawiki/images/1/11/Largemouth_Bass.png,Largemouth Bass,A popular fish that lives in lakes.
https://stardewvalleywiki.com/mediawiki/images/a/a5/Smallmouth_Bass.png,Smallmouth Bass,A freshwater fish that is very sensitive to pollution.
https://stardewvalleywiki.com/mediawiki/images/1/14/Rainbow_Trout.png,Rainbow Trout,A freshwater trout with colorful markings.
https://stardewvalleywiki.com/mediawiki/images/e/e0/Salmon.png,Salmon,Swims upstream to lay its eggs.
https://stardewvalleywiki.com/mediawiki/images/0/05/Walleye.png,Walleye,A freshwater fish caught at night.
https://stardewvalleywiki.com/mediawiki/images/4/43/Perch.png,Perch,A freshwater fish of the winter.
https://stardewvalleywiki.com/mediawiki/images/a/a8/Carp.png,Carp,A common pond fish.
https://stardewvalleywiki.com/mediawiki/images/9/99/Catfish.png,Catfish,An uncommon fish found in streams.
https://stardewvalleywiki.com/mediawiki/images/3/31/Pike.png,Pike,A freshwater fish that's difficult to catch.
https://stardewvalleywiki.com/mediawiki/images/5/56/Sunfish.png,Sunfish,A common river fish.
https://stardewvalleywiki.com/mediawiki/images/f/f2/Red_Mullet.png,Red Mullet,Long ago these were kept as pets.
https://stardewvalleywiki.com/mediawiki/images/f/f1/Herring.png,Herring,A common ocean fish.
https://stardewvalleywiki.com/mediawiki/images/9/91/Eel.png,Eel,"A long, slippery little fish."
https://stardewvalleywiki.com/mediawiki/images/5/5a/Octopus.png,Octopus,A mysterious and intelligent creature.
https://stardewvalleywiki.com/mediawiki/images/d/d3/Red_Snapper.png,Red Snapper,A popular fish with a nice red color.
https://stardewvalleywiki.com/mediawiki/images/8/81/Squid.png,Squid,A deep sea creature that can grow to enormous size.
https://stardewvalleywiki.com/mediawiki/images/a/a9/Sea_Cucumber.png,Sea Cucumber,"A slippery, slimy creature found on the ocean floor."
https://stardewvalleywiki.com/mediawiki/images/d/d5/Super_Cucumber.png,Super Cucumber,"A rare, purple variety of sea cucumber."
https://stardewvalleywiki.com/mediawiki/images/7/72/Ghostfish.png,Ghostfish,"A pale, blind fish found in underground lakes."
https://stardewvalleywiki.com/mediawiki/images/0/03/Stonefish.png,Stonefish,A bizarre fish that's shaped like a brick.
https://stardewvalleywiki.com/mediawiki/images/6/63/Ice_Pip.png,Ice Pip,A rare fish that thrives in extremely cold conditions.
https://stardewvalleywiki.com/mediawiki/images/1/12/Lava_Eel.png,Lava Eel,It can somehow survive in pools of red-hot lava.
https://stardewvalleywiki.com/mediawiki/images/b/bb/Sandfish.png,Sandfish,It tries to hide using camouflage.
https://stardewvalleywiki.com/mediawiki/images/7/76/Scorpion_Carp.png,Scorpion Carp,It's like a regular carp but with a sharp stinger.
https://stardewvalleywiki.com/mediawiki/images/8/85/Flounder.png,Flounder,"It lives on the bottom, so both eyes are on top of its head."
https://stardewvalleywiki.com/mediawiki/images/3/33/Midnight_Carp.png,Midnight Carp,This shy fish only feels comfortable at night.
https://stardewvalleywiki.com/mediawiki/images/4/42/Sturgeon.png,Sturgeon,An ancient bottom-feeder with a dwindling population. Females can live up to 150 years.
