Image,Name,Description
https://stardewvalleywiki.com/mediawiki/images/9/90/Wild_Horseradish.png,Wild Horseradish,A spicy root found in the spring.
https://stardewvalleywiki.com/mediawiki/images/4/4b/Daffodil.png,Daffodil,A traditional spring flower that makes a nice gift.
https://stardewvalleywiki.com/mediawiki/images/5/57/Leek.png,Leek,A tasty relative of the onion.
https://stardewvalleywiki.com/mediawiki/images/b/b1/Dandelion.png,Dandelion,"Not the prettiest flower, but the leaves make a good salad."
https://stardewvalleywiki.com/mediawiki/images/0/0c/Spring_Onion.png,Spring Onion,These grow wild during the spring.
https://stardewvalleywiki.com/mediawiki/images/b/b1/Morel.png,Morel,Sought after for its unique nutty flavor.
https://stardewvalleywiki.com/mediawiki/images/2/2e/Common_Mushroom.png,Common Mushroom,"Slightly nutty, with good texture."
https://stardewvalleywiki.com/mediawiki/images/5/59/Salmonberry.png,Salmonberry,A spring-time berry with the flavor of the forest.
https://stardewvalleywiki.com/mediawiki/images/2/2e/Common_Mushroom.png,Common Mushroom,"Slightly nutty, with good texture."
https://stardewvalleywiki.com/mediawiki/images/3/3b/Wild_Plum.png,Wild Plum,Tart and juicy with a pungent aroma.
https://stardewvalleywiki.com/mediawiki/images/3/31/Hazelnut.png,Hazelnut,That's one big hazelnut!
https://stardewvalleywiki.com/mediawiki/images/2/25/Blackberry.png,Blackberry,An early-fall treat.
https://stardewvalleywiki.com/mediawiki/images/1/1d/Chanterelle.png,Chanterelle,A tasty mushroom with a fruity smell and slightly peppery flavor.
https://stardewvalleywiki.com/mediawiki/images/e/e1/Red_Mushroom.png,Red Mushroom,A spotted mushroom sometimes found in caves.
https://stardewvalleywiki.com/mediawiki/images/4/4b/Purple_Mushroom.png,Purple Mushroom,A rare mushroom found deep in caves.
https://stardewvalleywiki.com/mediawiki/images/1/11/Winter_Root.png,Winter Root,A starchy tuber.
https://stardewvalleywiki.com/mediawiki/images/1/16/Crystal_Fruit.png,Crystal Fruit,A delicate fruit that pops up from the snow.
https://stardewvalleywiki.com/mediawiki/images/3/3f/Snow_Yam.png,Snow Yam,This little yam was hiding beneath the snow.
https://stardewvalleywiki.com/mediawiki/images/2/2f/Crocus.png,Crocus,A flower that can bloom in the winter.
https://stardewvalleywiki.com/mediawiki/images/b/b8/Holly.png,Holly,The leaves and bright red berries make a popular winter decoration.
https://stardewvalleywiki.com/mediawiki/images/a/a4/Nautilus_Shell.png,Nautilus Shell,An ancient shell.
https://stardewvalleywiki.com/mediawiki/images/b/b1/Coral.png,Coral,A colony of tiny creatures that clump together to form beautiful structures.
https://stardewvalleywiki.com/mediawiki/images/e/e7/Sea_Urchin.png,Sea Urchin,"A slow-moving, spiny creature that some consider a delicacy."
https://stardewvalleywiki.com/mediawiki/images/3/3d/Rainbow_Shell.png,Rainbow Shell,It's a very beautiful shell.
https://stardewvalleywiki.com/mediawiki/images/e/ed/Clam.png,Clam,There's a chewy little guy in there...
https://stardewvalleywiki.com/mediawiki/images/a/ad/Cockle.png,Cockle,A common saltwater clam.
https://stardewvalleywiki.com/mediawiki/images/a/aa/Mussel.png,Mussel,A common bivalve that often lives in clusters.
https://stardewvalleywiki.com/mediawiki/images/5/54/Oyster.png,Oyster,"Constantly filters water to find food. In the process, it removes dangerous toxins from the environment."
https://stardewvalleywiki.com/mediawiki/images/1/13/Seaweed.png,Seaweed,It can be used in cooking.
https://stardewvalleywiki.com/mediawiki/images/e/e1/Red_Mushroom.png,Red Mushroom,A spotted mushroom sometimes found in caves.
https://stardewvalleywiki.com/mediawiki/images/4/4b/Purple_Mushroom.png,Purple Mushroom,A rare mushroom found deep in caves.
https://stardewvalleywiki.com/mediawiki/images/3/34/Cave_Carrot.png,Cave Carrot,A starchy snack found in caves. It helps miners work longer.
https://stardewvalleywiki.com/mediawiki/images/3/32/Cactus_Fruit.png,Cactus Fruit,The sweet fruit of the prickly pear cactus.
https://stardewvalleywiki.com/mediawiki/images/2/2f/Coconut.png,Coconut,A seed of the coconut palm. It has many culinary uses.
https://stardewvalleywiki.com/mediawiki/images/8/85/Ginger.png,Ginger,"This sharp, spicy root is said to increase vitality."
https://stardewvalleywiki.com/mediawiki/images/7/77/Magma_Cap.png,Magma Cap,A very rare mushroom that lives next to pools of lava.
