Image,Name,Description
https://stardewvalleywiki.com/mediawiki/images/1/14/Grass_Starter.png,Grass Starter,Place this on your farm to start a new patch of grass.
https://stardewvalleywiki.com/mediawiki/images/1/14/Grass_Starter.png,Grass Starter (Recipe),A recipe to make Grass Starter
https://stardewvalleywiki.com/mediawiki/images/a/a9/Sugar.png,Sugar,Adds sweetness to pastries and candies. Too much can be unhealthy.
https://stardewvalleywiki.com/mediawiki/images/2/2c/Wheat_Flour.png,Wheat Flour,A common cooking ingredient made from crushed wheat seeds.
https://stardewvalleywiki.com/mediawiki/images/d/da/Rice.png,Rice,A basic grain often served under vegetables.
https://stardewvalleywiki.com/mediawiki/images/0/06/Oil.png,Oil,All purpose cooking oil.
https://stardewvalleywiki.com/mediawiki/images/f/fe/Vinegar.png,Vinegar,An aged fermented liquid used in many cooking recipes.
https://stardewvalleywiki.com/mediawiki/images/9/9b/Basic_Fertilizer.png,Basic Fertilizer,"Improves soil quality a little, increasing your chance to grow quality crops. Mix into tilled soil. (Available from spring 15 of year 1 onward)"
https://stardewvalleywiki.com/mediawiki/images/a/a0/Quality_Fertilizer.png,Quality Fertilizer,"Improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil. (Available from year 2 onward)"
https://stardewvalleywiki.com/mediawiki/images/c/c7/Basic_Retaining_Soil.png,Basic Retaining Soil,This soil has a chance of staying watered overnight. Mix into tilled soil. (Available from spring 15 of year 1 onward)
https://stardewvalleywiki.com/mediawiki/images/0/0a/Quality_Retaining_Soil.png,Quality Retaining Soil,This soil has a good chance of staying watered overnight. Mix into tilled soil. (Available from year 2 onward)
https://stardewvalleywiki.com/mediawiki/images/9/94/Speed-Gro.png,Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil. (Available from spring 15 of year 1 onward)
https://stardewvalleywiki.com/mediawiki/images/6/6d/Deluxe_Speed-Gro.png,Deluxe Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil. (Available from year 2 onward)
https://stardewvalleywiki.com/mediawiki/images/thumb/8/89/Wallpaper_001_Icon.png/36px-Wallpaper_001_Icon.png,Wallpaper (Random each day),Decorates the walls of one room.
https://stardewvalleywiki.com/mediawiki/images/thumb/8/80/Flooring_01_Icon.png/40px-Flooring_01_Icon.png,Flooring (Random each day),Decorates the floor of one room.
https://stardewvalleywiki.com/mediawiki/images/2/22/Cherry_Sapling.png,Cherry Sapling,"Takes 28 days to produce a mature Cherry tree. Bears fruit in the spring. Only grows if the 8 surrounding ""tiles"" are empty."
https://stardewvalleywiki.com/mediawiki/images/9/9d/Apricot_Sapling.png,Apricot Sapling,"Takes 28 days to produce a mature Apricot tree. Bears fruit in the spring. Only grows if the 8 surrounding ""tiles"" are empty."
https://stardewvalleywiki.com/mediawiki/images/0/08/Orange_Sapling.png,Orange Sapling,"Takes 28 days to produce a mature Orange tree. Bears fruit in the summer. Only grows if the 8 surrounding ""tiles"" are empty."
https://stardewvalleywiki.com/mediawiki/images/e/e3/Peach_Sapling.png,Peach Sapling,"Takes 28 days to produce a mature Peach tree. Bears fruit in the summer. Only grows if the 8 surrounding ""tiles"" are empty."
https://stardewvalleywiki.com/mediawiki/images/1/10/Pomegranate_Sapling.png,Pomegranate Sapling,"Takes 28 days to produce a mature Pomegranate tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty."
https://stardewvalleywiki.com/mediawiki/images/6/68/Apple_Sapling.png,Apple Sapling,"Takes 28 days to produce a mature Apple tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty."
https://stardewvalleywiki.com/mediawiki/images/thumb/4/49/Catalogue.png/32px-Catalogue.png,Catalogue,Provides unlimited access to all wallpapers and floors... from the convenience of your home!
https://stardewvalleywiki.com/mediawiki/images/thumb/0/02/Dehydrator.png/32px-Dehydrator.png,Dehydrator (Recipe),A recipe to make Dehydrator
https://stardewvalleywiki.com/mediawiki/images/8/83/Bouquet.png,Bouquet,A gift that shows your romantic interest. (Unlocked after reaching 8 hearts with a marriage candidate)
